Airlines,Date_of_Journey,Source,Destination,Dep_times,Arrival_time,Duration,Stops,Price
Vistara,10/11/2021,New Delhi,Mumbai,10:20,12:35,2h 15m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,14:20,16:35,2h 15m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,16:00,18:15,2h 15m,Non Stop,5955
Air India,10/11/2021,New Delhi,Mumbai,19:00,21:15,2h 15m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,8:50,11:10,2h 20m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,10:45,13:05,2h 20m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,11:40,14:00,2h 20m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,17:45,20:05,2h 20m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,18:55,21:15,2h 20m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,4:45,7:10,2h 25m,Non Stop,5955
Air India,10/11/2021,New Delhi,Mumbai,15:05,18:15,3h 10m,1 Stop,5955
SpiceJet,10/11/2021,New Delhi,Mumbai,6:35,10:15,3h 40m,1 Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,5:15,10:05,4h 50m,1 Stop,5955
SpiceJet,10/11/2021,New Delhi,Mumbai,19:00,23:50,4h 50m,1 Stop,5955
SpiceJet,10/11/2021,New Delhi,Mumbai,20:10,09:30,13h 20m,1 Stop,5955
Air Asia,10/11/2021,New Delhi,Mumbai,4:25,6:35,2h 10m,Non Stop,5956
IndiGo,10/11/2021,New Delhi,Mumbai,1:05,3:20,2h 15m,Non Stop,6165
IndiGo,10/11/2021,New Delhi,Mumbai,12:55,17:50,4h 55m,1 Stop,6218
IndiGo,10/11/2021,New Delhi,Mumbai,9:35,14:35,5h 00m,1 Stop,6218
IndiGo,10/11/2021,New Delhi,Mumbai,9:35,17:50,8h 15m,1 Stop,6218
IndiGo,10/11/2021,New Delhi,Mumbai,9:30,11:45,2h 15m,Non Stop,6375
IndiGo,10/11/2021,New Delhi,Mumbai,21:15,23:30,2h 15m,Non Stop,6375
Air Asia,10/11/2021,New Delhi,Mumbai,8:00,20:35,12h 35m,1 Stop,6376
IndiGo,10/11/2021,New Delhi,Mumbai,7:25,16:05,8h 40m,1 Stop,6443
IndiGo,10/11/2021,New Delhi,Mumbai,6:05,16:05,10h 00m,1 Stop,6443
IndiGo,10/11/2021,New Delhi,Mumbai,12:55,23:15,10h 20m,1 Stop,6506
Go First,10/11/2021,New Delhi,Mumbai,14:20,16:35,2h 15m,Non Stop,6532
Air Asia,10/11/2021,New Delhi,Mumbai,20:00,22:15,2h 15m,Non Stop,6559
IndiGo,10/11/2021,New Delhi,Mumbai,12:00,14:10,2h 10m,Non Stop,6585
IndiGo,10/11/2021,New Delhi,Mumbai,17:15,19:25,2h 10m,Non Stop,6585
IndiGo,10/11/2021,New Delhi,Mumbai,18:35,20:50,2h 15m,Non Stop,6585
Air India,10/11/2021,New Delhi,Mumbai,5:55,23:25,17h 30m,1 Stop,6763
Air India,10/11/2021,New Delhi,Mumbai,20:00,22:10,2h 10m,Non Stop,6795
SpiceJet,10/11/2021,New Delhi,Mumbai,11:20,18:00,6h 40m,1 Stop,6901
SpiceJet,10/11/2021,New Delhi,Mumbai,19:00,10:30,15h 35m,1 Stop,6901
IndiGo,10/11/2021,New Delhi,Mumbai,13:30,20:20,6h 50m,1 Stop,6932
IndiGo,10/11/2021,New Delhi,Mumbai,13:30,23:10,9h 40m,1 Stop,6932
IndiGo,10/11/2021,New Delhi,Mumbai,21:20,07:05,9h 45m,1 Stop,6932
IndiGo,10/11/2021,New Delhi,Mumbai,17:55,23:15,5h 20m,1 Stop,7005
Air Asia,10/11/2021,New Delhi,Mumbai,9:35,20:35,11h 00m,1 Stop,7007
IndiGo,10/11/2021,New Delhi,Mumbai,11:25,16:40,5h 15m,1 Stop,7420
IndiGo,10/11/2021,New Delhi,Mumbai,12:55,20:45,7h 50m,1 Stop,7420
IndiGo,10/11/2021,New Delhi,Mumbai,11:25,20:20,8h 55m,1 Stop,7420
IndiGo,10/11/2021,New Delhi,Mumbai,18:00,22:25,4h 25m,1 Stop,7908
Air India,10/11/2021,New Delhi,Mumbai,11:55,15:50,3h 55m,1 Stop,7930
IndiGo,10/11/2021,New Delhi,Mumbai,10:15,18:05,7h 50m,1 Stop,8396
Air India,10/11/2021,New Delhi,Mumbai,6:05,15:50,9h 45m,1 Stop,8475
Go First,10/11/2021,New Delhi,Mumbai,6:00,10:40,4h 40m,1 Stop,8869
Go First,10/11/2021,New Delhi,Mumbai,15:30,21:25,5h 55m,1 Stop,8869
Go First,10/11/2021,New Delhi,Mumbai,6:00,12:30,6h 30m,1 Stop,8869
IndiGo,10/11/2021,New Delhi,Mumbai,5:30,10:55,5h 25m,1 Stop,8885
Air India,10/11/2021,New Delhi,Mumbai,5:15,16:25,11h 10m,2 Stop(s),9041
IndiGo,10/11/2021,New Delhi,Mumbai,18:30,23:10,4h 40m,1 Stop,9373
IndiGo,10/11/2021,New Delhi,Mumbai,22:15,05:55,7h 40m,1 Stop,9373
IndiGo,10/11/2021,New Delhi,Mumbai,22:15,08:25,10h 10m,1 Stop,9373
IndiGo,10/11/2021,New Delhi,Mumbai,13:50,19:50,6h 00m,1 Stop,9389
Air Asia,10/11/2021,New Delhi,Mumbai,18:35,06:45,12h 10m,1 Stop,9552
Air India,10/11/2021,New Delhi,Mumbai,19:10,21:15,26h 05m,1 Stop,9630
Air India,10/11/2021,New Delhi,Mumbai,5:15,09:20,28h 05m,2 Stop(s),9704
Vistara,10/11/2021,New Delhi,Mumbai,17:40,23:00,5h 20m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,7:05,14:30,7h 25m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,20:35,10:00,13h 25m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,7:05,23:00,15h 55m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,17:40,10:00,16h 20m,1 Stop,9840
